S.No	Date	Vehicle No.	W. Slip No.	Truckchit No.	Center Name	DISTRICT	New Bags	Old Bags	Total Bags	Total Quintals	Moisture	Unloading Point
157	23-05-2025	TS07UK3350	1050	12041	PACS KASALA II	SANGAREDDY	0	796	796	318.4		NEW GODOWN
158	23-05-2025	TS07UH3214	1051	13328	PACS ISMAILKHANPET	SANGAREDDY	0	623	623	249.2		NEW GODOWN
159	23-05-2025	KA38A2315	1052	29470	IKP WADDEPALLY	SANGAREDDY	594	0	594	237.6		NEW GODOWN
160	23-05-2025	AP24X8168	1053	10253	PACS REDDIKHANAPUR	SANGAREDDY	0	608	608	243.2		NEW GODOWN
161	24-05-2025	TS15UE7857	1054	10254	PACS REDDIKHANAPUR	SANGAREDDY	0	559	559	223.6		NEW GODOWN
162	24-05-2025	AP29TA2062	1055	10918	PACS KANDI	SANGAREDDY	123	517	640	256		NEW GODOWN
163	24-05-2025	AP31TC1059	1056	12042	PACS KASALA II	SANGAREDDY	0	710	710	284		NEW GODOWN
164	24-05-2025	KA45.4040	1057	12786	PACS BORPATLA II	SANGAREDDY	717		717	286.8		OLD GODOWN
165	24-05-2025	KA39.9973	1058	3761	DCMS BADRIGUDEM	SANGAREDDY	0	644	644	257.6		NEW GODOWN
166	24-05-2025	KA38A7466	1059	12787	PACS BORPATLA II	SANGAREDDY	675	0	675	270		NEW GODOWN
167	24-05-2025	KA56.2087	1060	12630	PACS BORPATLA I	SANGAREDDY	0	627	627	250.8		NEW GODOWN
168	24-05-2025	TR	1061	29472	IKP WADDEPALLY	SANGAREDDY	124	0	124	49.6		BATTI
169	24-05-2025	KA38A6777	1062	10255	PACS REDDIKHANAPUR	SANGAREDDY	0	582	582	232.8		NEW GODOWN
170	24-05-2025	KA38.6759	1063	29471	IKP WADDEPALLY	SANGAREDDY	553		553	221.2		NEW GODOWN
171	24-05-2025	TS12UA7845	1064	12043	PACS KASALA II	SANGAREDDY	0	547	547	218.8		NEW GODOWN
172	24-05-2025	AP28TA4947	1065	29473	IKP WADDEPALLY	SANGAREDDY	286	0	286	114.4		NEW GODOWN
173	25-05-2025	AP24X8168	1066	10256	PACS REDDIKHANAPUR	SANGAREDDY	0	628	628	251.2		NEW GODOWN
174	25-05-2025	KA38A6558	1067	10920	PACS KANDI	SANGAREDDY	561	123	684	273.6		NEW GODOWN
175	25-05-2025	AP12V2959	1068	10257	PACS REDDIKHANAPUR	SANGAREDDY	0	594	594	237.6		NEW GODOWN
176	25-05-2025	KA456.2928	1069	13333	PACS ISMAILKHANPET	SANGAREDDY	0	506	506	202.4		NEW GODOWN
177	25-05-2025	TS07UK3350	1070	12044	PACS KASALA II	SANGAREDDY	0	788	788	315.2		NEW GODOWN
178	25-05-2025	TS15UC4786	1072	13330	PACS ISMAILKHANPET	SANGAREDDY	0	657	657	262.8		NEW GODOWN
179	25-05-2025	TS15UE7857	1073	10258	PACS REDDIKHANAPUR	SANGAREDDY	0	568	568	227.2		NEW GODOWN
180	25-05-2025	AP29TA2062	1074	11534	PACS INDRAKARAN	SANGAREDDY	554	0	554	221.6		NEW GODOWN
181	25-05-2025	TG34T5901	1075	4111	PACS GHATTEPALLY (VKR)	VIKARABAD	756	0	756	302.4		NEW GODOWN
182	25-05-2025	AP31TC1059	1076	12045	PACS KASALA II	SANGAREDDY	0	619	619	247.6		NEW GODOWN
183	25-05-2025	KA38A6777	1077	10259	PACS REDDIKHANAPUR	SANGAREDDY	0	585	585	234		NEW GODOWN
184	25-05-2025	TS34TB4002	1078	33182	DCMS MANSANPALLY (VKR)	VIKARABAD	79	738	817	326.8		NEW GODOWN
185	26-05-2025	TS12UA7845	1079	10260	PACS REDDIKHANAPUR	SANGAREDDY	0	622	622	248.8		NEW GODOWN
186	26-05-2025	AP28TA1467	1081	4112	PACS GHATTEPALLY (VKR)	VIKARABAD	625	0	625	250		NEW GODOWN
187	26-05-2025	KA38A6628	1082	10261	PACS REDDIKHANAPUR	SANGAREDDY	0	698	698	279.2		NEW GODOWN
188	26-05-2025	KA39.9973	1083	3763	DCMS BADRIGUDEM	SANGAREDDY	254	398	652	260.8		NEW GODOWN
189	26-05-2025	TS07UK3350	1084	12047	PACS KASALA II	SANGAREDDY	0	812	812	324.8		NEW GODOWN
190	26-05-2025	TS07UH3214	1085	13331	PACS ISMAILKHANPET	SANGAREDDY	0	629	629	251.6		NEW GODOWN
191	26-05-2025	TS32T1570	1080	11535	PACS INDRAKARAN	SANGAREDDY	738	0	738	295.2		NEW GODOWN
192	26-05-2025	KA56.2928	1087	13334	PACS ISMAILKHANPET	SANGAREDDY	0	543	543	217.2		NEW GODOWN
193	26-05-2025	TS15UC4786	1086	13335	PACS ISMAILKHANPET	SANGAREDDY	0	625	625	250		NEW GODOWN
194	26-05-2025	AP31TC1059	1088	12048	PACS KASALA II	SANGAREDDY	0	669	669	267.6		NEW GODOWN
195	26-05-2025	TS07UC5511	1093	29479	IKP WADDEPALLY	SANGAREDDY	55	4	59	23.6		NEW GODOWN
196	26-05-2025	AP23TA1235	1089	10262	PACS REDDIKHANAPUR	SANGAREDDY	0	732	732	292.8		NEW GODOWN
197	26-05-2025	TS15UE7857	1090	10263	PACS REDDIKHANAPUR	SANGAREDDY	0	554	554	221.6		NEW GODOWN
198	27-05-2025	KA38A6558	1091	10928	PACS KANDI	SANGAREDDY	704	0	704	281.6		NEW GODOWN
199	27-05-2025	AP29TA2062	1094	10932	PACS KANDI	SANGAREDDY	0	526	526	210.4		NEW GODOWN
200	27-05-2025	AP24X8168	1095	10264	PACS REDDIKHANAPUR	SANGAREDDY	0	628	628	251.2		NEW GODOWN
201	27-05-2025	TS12UA7845	1096	10265	PACS REDDIKHANAPUR	SANGAREDDY	0	642	642	256.8		NEW GODOWN
202	27-05-2025	TS07UH3214	1097	13338	PACS ISMAILKHANPET	SANGAREDDY	0	644	644	257.6		NEW GODOWN
203	26-05-2025	AP15TC5025	1092	1203	PACS RAMPUR (VKR)	VIKARABAD	0	697	697	278.8		NEW GODOWN
204	27-05-2025	TS07UK3350	1098	12049	PACS KASALA II	SANGAREDDY	0	709	709	283.6		NEW GODOWN
205	27-05-2025	AP13Y0561	1099	10923	PACS KANDI	SANGAREDDY	402	88	490	196		BATTI
206	27-05-2025	TS15UC4786	1100	13339	PACS ISMAILKHANPET	SANGAREDDY	0	653	653	261.2		NEW GODOWN
207	27-05-2025	AP28TA1245	1101	12520	PACS PALPANOOR	SANGAREDDY	605	0	605	242		BATTI
208	27-05-2025	KA39.9973	1102	3765	DCMS BADRIGUDEM	SANGAREDDY	0	737	737	294.8		NEW GODOWN
209	27-05-2025	AP23Y4194	1103	10927	PACS KANDI	SANGAREDDY	628	0	628	251.2		NEW GODOWN
210	27-05-2025	KA56.2928	1104	13340	PACS ISMAILKHANPET	SANGAREDDY	0	447	447	178.8		NEW GODOWN
211	27.05.2025	TS08UA5859	1105	4462	IKP NAGASAMUNDAR (VKR)	VIKARABAD	0	764	764	305.6		NEW GODOWN
212	27-05-2025	TS07UH3214	1106	13341	PACS ISMAILKHANPET	SANGAREDDY	0	646	646	258.4		NEW GODOWN
213	28.05.2025	AP24X8168	1107	12176	PACS KASALA II	SANGAREDDY	0	603	603	241.2		NEW GODOWN
214	28-05-2025	TS15UE7857	1108	12050	PACS KASALA II	SANGAREDDY	0	580	580	232		NEW GODOWN
215	28-05-2025	TS32T1570	1109	11536	PACS INDRAKARAN	SANGAREDDY	742	0	742	296.8		NEW GODOWN
216	28-05-2025	KA38A6558	1110	10929	PACS KANDI	SANGAREDDY	688	0	688	275.2		NEW GODOWN
217	28-05-2025	AP13Y0561	1111	10930	PACS KANDI	SANGAREDDY	255	243	498	199.2		NEW GODOWN
218	28-05-2025	AP25TC5025	1112	4161	PACS MEKAVANAMPALLY (VKR)	VIKARABAD	250	433	683	273.2		NEW GODOWN
219	28-05-2025	AP16TG2747	1113	4163	PACS MEKAVANAMPALLY (VKR)	VIKARABAD	0	809	809	323.6		NEW GODOWN
220	28-05-2025	TS15UC4786	1114	13342	PACS ISMAILKHANPET	SANGAREDDY	0	615	615	246		NEW GODOWN
221	29-05-2025	TS07UH3214	1115	13343	PACS ISMAILKHANPET	SANGAREDDY	0	615	615	246		NEW GODOWN
222	29-05-2025	KA56.2928	1116	10933	PACS KANDI	SANGAREDDY	431	144	575	230		NEW GODOWN
223	29-05-2025	AP13Y0561	1118	10936	PACS KANDI	SANGAREDDY	0	508	508	203.2		NEW GODOWN
